Date,Open,High,Low,Close,Adj Close,Volume
1988-07-01,66.971497,66.971497,66.971497,66.971497,24.797430,0
1988-07-04,66.146698,66.146698,66.146698,66.146698,24.492039,0
1988-07-05,66.971497,66.971497,66.971497,66.971497,24.797430,0
1988-07-06,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-07-07,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-07-08,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-07-11,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-07-12,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-07-13,69.610703,69.610703,69.610703,69.610703,25.774649,0
1988-07-14,68.786003,68.786003,68.786003,68.786003,25.469290,0
1988-07-15,68.126099,68.126099,68.126099,68.126099,25.224949,0
1988-07-18,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-07-19,68.950897,68.950897,68.950897,68.950897,25.530344,0
1988-07-20,68.950897,68.950897,68.950897,68.950897,25.530344,0
1988-07-21,69.775703,69.775703,69.775703,69.775703,25.835743,0
1988-07-22,68.950897,68.950897,68.950897,68.950897,25.530344,0
1988-07-25,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-07-26,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-07-27,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-07-28,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-07-29,66.806503,66.806503,66.806503,66.806503,24.736345,0
1988-08-01,66.146698,66.146698,66.146698,66.146698,24.492039,0
1988-08-02,65.651802,65.651802,65.651802,65.651802,24.308796,0
1988-08-03,65.981697,65.981697,65.981697,65.981697,24.430944,0
1988-08-04,66.806503,66.806503,66.806503,66.806503,24.736345,0
1988-08-05,67.961197,67.961197,67.961197,67.961197,25.163887,0
1988-08-08,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-08-09,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-08-10,67.136398,67.136398,67.136398,67.136398,24.858490,0
1988-08-11,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-08-12,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-08-15,65.486900,65.486900,65.486900,65.486900,24.247725,0
1988-08-16,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-08-17,67.301399,67.301399,67.301399,67.301399,24.919588,0
1988-08-18,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-08-19,68.126099,68.126099,68.126099,68.126099,25.224949,0
1988-08-22,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-08-23,66.806503,66.806503,66.806503,66.806503,24.736345,0
1988-08-24,67.136398,67.136398,67.136398,67.136398,24.858490,0
1988-08-25,66.146698,66.146698,66.146698,66.146698,24.492039,0
1988-08-26,65.156998,65.156998,65.156998,65.156998,24.125586,0
1988-08-29,65.156998,65.156998,65.156998,65.156998,24.125586,0
1988-08-30,65.156998,65.156998,65.156998,65.156998,24.125586,0
1988-08-31,65.816803,65.816803,65.816803,65.816803,24.369890,0
1988-09-01,64.497101,64.497101,64.497101,64.497101,23.881245,0
1988-09-02,65.486900,65.486900,65.486900,65.486900,24.247725,0
1988-09-05,64.991997,64.991997,64.991997,64.991997,24.064487,0
1988-09-06,65.321899,65.321899,65.321899,65.321899,24.186634,0
1988-09-07,65.321899,65.321899,65.321899,65.321899,24.186634,0
1988-09-08,64.662102,64.662102,64.662102,64.662102,23.942337,0
1988-09-09,64.662102,64.662102,64.662102,64.662102,23.942337,0
1988-09-12,64.991997,64.991997,64.991997,64.991997,24.064487,0
1988-09-13,64.991997,64.991997,64.991997,64.991997,24.064487,0
1988-09-14,65.156998,65.156998,65.156998,65.156998,24.125586,0
1988-09-15,65.156998,65.156998,65.156998,65.156998,24.125586,0
1988-09-16,64.662102,64.662102,64.662102,64.662102,23.942337,0
1988-09-19,64.991997,64.991997,64.991997,64.991997,24.064487,0
1988-09-20,65.816803,65.816803,65.816803,65.816803,24.369890,0
1988-09-21,65.486900,65.486900,65.486900,65.486900,24.247725,0
1988-09-22,64.991997,64.991997,64.991997,64.991997,24.064487,0
1988-09-23,65.486900,65.486900,65.486900,65.486900,24.247725,0
1988-09-26,65.321899,65.321899,65.321899,65.321899,24.186634,0
1988-09-27,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-09-28,67.796204,67.796204,67.796204,67.796204,25.102797,0
1988-09-29,69.115898,69.115898,69.115898,69.115898,25.591446,0
1988-09-30,69.115898,69.115898,69.115898,69.115898,25.591446,0
1988-10-03,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-10-04,68.291100,68.291100,68.291100,68.291100,25.286043,0
1988-10-05,68.621002,68.621002,68.621002,68.621002,25.408194,0
1988-10-06,69.115898,69.115898,69.115898,69.115898,25.591446,0
1988-10-07,69.610703,69.610703,69.610703,69.610703,25.774649,0
1988-10-10,69.940598,69.940598,69.940598,69.940598,25.896786,0
1988-10-11,69.940598,69.940598,69.940598,69.940598,25.896786,0
1988-10-12,68.786003,68.786003,68.786003,68.786003,25.469290,0
1988-10-13,69.610703,69.610703,69.610703,69.610703,25.774649,0
1988-10-14,70.105598,70.105598,70.105598,70.105598,25.957890,0
1988-10-17,70.435501,70.435501,70.435501,70.435501,26.080044,0
1988-10-18,69.610703,69.610703,69.610703,69.610703,25.774649,0
1988-10-19,69.775703,69.775703,69.775703,69.775703,25.835743,0
1988-10-20,70.765404,70.765404,70.765404,70.765404,26.202192,0
1988-10-21,70.765404,70.765404,70.765404,70.765404,26.202192,0
1988-10-24,70.435501,70.435501,70.435501,70.435501,26.080044,0
1988-10-25,68.786003,68.786003,68.786003,68.786003,25.469290,0
1988-10-26,68.621002,68.621002,68.621002,68.621002,25.408194,0
1988-10-27,68.126099,68.126099,68.126099,68.126099,25.224949,0
1988-10-28,68.126099,68.126099,68.126099,68.126099,25.224949,0
1988-10-31,67.961197,67.961197,67.961197,67.961197,25.163887,0
1988-11-01,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-11-02,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-11-03,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-11-04,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-11-07,66.641502,66.641502,66.641502,66.641502,24.675249,0
1988-11-08,67.301399,67.301399,67.301399,67.301399,24.919588,0
1988-11-09,66.641502,66.641502,66.641502,66.641502,24.675249,0
1988-11-10,66.641502,66.641502,66.641502,66.641502,24.675249,0
1988-11-11,66.146698,66.146698,66.146698,66.146698,24.492039,0
1988-11-14,66.971497,66.971497,66.971497,66.971497,24.797430,0
1988-11-15,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-11-16,67.961197,67.961197,67.961197,67.961197,25.163887,0
1988-11-17,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-11-18,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-11-21,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-11-22,68.786003,68.786003,68.786003,68.786003,25.469290,0
1988-11-23,69.445801,69.445801,69.445801,69.445801,25.713593,0
1988-11-24,68.950897,68.950897,68.950897,68.950897,25.530344,0
1988-11-25,67.961197,67.961197,67.961197,67.961197,25.163887,0
1988-11-28,68.126099,68.126099,68.126099,68.126099,25.224949,0
1988-11-29,68.950897,68.950897,68.950897,68.950897,25.530344,0
1988-11-30,69.445801,69.445801,69.445801,69.445801,25.713593,0
1988-12-01,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-12-02,67.796204,67.796204,67.796204,67.796204,25.102797,0
1988-12-05,67.301399,67.301399,67.301399,67.301399,24.919588,0
1988-12-06,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-12-07,67.136398,67.136398,67.136398,67.136398,24.858490,0
1988-12-08,66.806503,66.806503,66.806503,66.806503,24.736345,0
1988-12-09,66.476601,66.476601,66.476601,66.476601,24.614180,0
1988-12-12,66.311600,66.311600,66.311600,66.311600,24.553085,0
1988-12-13,66.641502,66.641502,66.641502,66.641502,24.675249,0
1988-12-14,67.466301,67.466301,67.466301,67.466301,24.980650,0
1988-12-15,68.456001,68.456001,68.456001,68.456001,25.347101,0
1988-12-16,69.280800,69.280800,69.280800,69.280800,25.652493,0
1988-12-19,68.786003,68.786003,68.786003,68.786003,25.469290,0
1988-12-20,69.115898,69.115898,69.115898,69.115898,25.591446,0
1988-12-21,68.621002,68.621002,68.621002,68.621002,25.408194,0
1988-12-22,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-12-23,67.796204,67.796204,67.796204,67.796204,25.102797,0
1988-12-26,67.796204,67.796204,67.796204,67.796204,25.102797,0
1988-12-27,67.796204,67.796204,67.796204,67.796204,25.102797,0
1988-12-28,67.631302,67.631302,67.631302,67.631302,25.041740,0
1988-12-29,67.301399,67.301399,67.301399,67.301399,24.919588,0
1988-12-30,66.971497,66.971497,66.971497,66.971497,24.797430,0
1989-01-02,66.971497,66.971497,66.971497,66.971497,24.797430,0
1989-01-03,66.641502,66.641502,66.641502,66.641502,24.675249,0
1989-01-04,66.971497,66.971497,66.971497,66.971497,24.797430,0
1989-01-05,67.301399,67.301399,67.301399,67.301399,24.919588,0
1989-01-06,67.631302,67.631302,67.631302,67.631302,25.041740,0
1989-01-09,67.961197,67.961197,67.961197,67.961197,25.163887,0
1989-01-10,68.950897,68.950897,68.950897,68.950897,25.530344,0
1989-01-11,68.786003,68.786003,68.786003,68.786003,25.469290,0
1989-01-12,69.610703,69.610703,69.610703,69.610703,25.774649,0
1989-01-13,70.600502,70.600502,70.600502,70.600502,26.141129,0
1989-01-16,70.600502,70.600502,70.600502,70.600502,26.141129,0
1989-01-17,70.435501,70.435501,70.435501,70.435501,26.080044,0
1989-01-18,71.590202,71.590202,71.590202,71.590202,26.507599,0
1989-01-19,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-01-20,72.250000,72.250000,72.250000,72.250000,26.751898,0
1989-01-23,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-01-24,71.755096,71.755096,71.755096,71.755096,26.568647,0
1989-01-25,72.414902,72.414902,72.414902,72.414902,26.812958,0
1989-01-26,73.404701,73.404701,73.404701,73.404701,27.179449,0
1989-01-27,76.703796,76.703796,76.703796,76.703796,28.400995,0
1989-01-30,77.363602,77.363602,77.363602,77.363602,28.645306,0
1989-01-31,77.858398,77.858398,77.858398,77.858398,28.828512,0
1989-02-01,76.538803,76.538803,76.538803,76.538803,28.339901,0
1989-02-02,75.713997,75.713997,75.713997,75.713997,28.034504,0
1989-02-03,76.043900,76.043900,76.043900,76.043900,28.156670,0
1989-02-06,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-02-07,76.538803,76.538803,76.538803,76.538803,28.339901,0
1989-02-08,79.837898,79.837898,79.837898,79.837898,29.561453,0
1989-02-09,79.013100,79.013100,79.013100,79.013100,29.256060,0
1989-02-10,78.188400,78.188400,78.188400,78.188400,28.950693,0
1989-02-13,76.538803,76.538803,76.538803,76.538803,28.339901,0
1989-02-14,76.538803,76.538803,76.538803,76.538803,28.339901,0
1989-02-15,76.373901,76.373901,76.373901,76.373901,28.278860,0
1989-02-16,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-02-17,75.219200,75.219200,75.219200,75.219200,27.851294,0
1989-02-20,75.054199,75.054199,75.054199,75.054199,27.790211,0
1989-02-21,75.713997,75.713997,75.713997,75.713997,28.034504,0
1989-02-22,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-02-23,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-02-24,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-02-27,72.414902,72.414902,72.414902,72.414902,26.812958,0
1989-02-28,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-03-01,74.229401,74.229401,74.229401,74.229401,27.484802,0
1989-03-02,74.394402,74.394402,74.394402,74.394402,27.545893,0
1989-03-03,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-03-06,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-03-07,74.889297,74.889297,74.889297,74.889297,27.729136,0
1989-03-08,75.054199,75.054199,75.054199,75.054199,27.790211,0
1989-03-09,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-03-10,74.889297,74.889297,74.889297,74.889297,27.729136,0
1989-03-13,72.909798,72.909798,72.909798,72.909798,26.996201,0
1989-03-14,74.064499,74.064499,74.064499,74.064499,27.423752,0
1989-03-15,72.909798,72.909798,72.909798,72.909798,26.996201,0
1989-03-16,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-03-17,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-03-20,70.930397,70.930397,70.930397,70.930397,26.263285,0
1989-03-21,71.590202,71.590202,71.590202,71.590202,26.507599,0
1989-03-22,70.765404,70.765404,70.765404,70.765404,26.202192,0
1989-03-23,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-03-24,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-03-27,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-03-28,71.920097,71.920097,71.920097,71.920097,26.629747,0
1989-03-29,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-03-30,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-03-31,73.404701,73.404701,73.404701,73.404701,27.179449,0
1989-04-03,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-04-04,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-04-05,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-04-06,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-04-07,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-04-10,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-04-11,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-04-12,70.270500,70.270500,70.270500,70.270500,26.018946,0
1989-04-13,71.095299,71.095299,71.095299,71.095299,26.324343,0
1989-04-14,71.590202,71.590202,71.590202,71.590202,26.507599,0
1989-04-17,71.260300,71.260300,71.260300,71.260300,26.385435,0
1989-04-18,71.425201,71.425201,71.425201,71.425201,26.446503,0
1989-04-19,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-04-20,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-04-21,71.755096,71.755096,71.755096,71.755096,26.568647,0
1989-04-24,71.425201,71.425201,71.425201,71.425201,26.446503,0
1989-04-25,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-04-26,73.239700,73.239700,73.239700,73.239700,27.118357,0
1989-04-27,73.734596,73.734596,73.734596,73.734596,27.301596,0
1989-04-28,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-05-01,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-05-02,74.064499,74.064499,74.064499,74.064499,27.423752,0
1989-05-03,73.734596,73.734596,73.734596,73.734596,27.301596,0
1989-05-04,74.229401,74.229401,74.229401,74.229401,27.484802,0
1989-05-05,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-05-08,74.229401,74.229401,74.229401,74.229401,27.484802,0
1989-05-09,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-05-10,76.538803,76.538803,76.538803,76.538803,28.339901,0
1989-05-11,77.033699,77.033699,77.033699,77.033699,28.523151,0
1989-05-12,78.518303,78.518303,78.518303,78.518303,29.072855,0
1989-05-15,79.508003,79.508003,79.508003,79.508003,29.439308,0
1989-05-16,78.353302,78.353302,78.353302,78.353302,29.011761,0
1989-05-17,79.013100,79.013100,79.013100,79.013100,29.256060,0
1989-05-18,78.848198,78.848198,78.848198,78.848198,29.195005,0
1989-05-19,79.837898,79.837898,79.837898,79.837898,29.561453,0
1989-05-22,78.683197,78.683197,78.683197,78.683197,29.133904,0
1989-05-23,77.033699,77.033699,77.033699,77.033699,28.523151,0
1989-05-24,76.043900,76.043900,76.043900,76.043900,28.156670,0
1989-05-25,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-05-26,74.724297,74.724297,74.724297,74.724297,27.668058,0
1989-05-29,74.724297,74.724297,74.724297,74.724297,27.668058,0
1989-05-30,73.734596,73.734596,73.734596,73.734596,27.301596,0
1989-05-31,73.404701,73.404701,73.404701,73.404701,27.179449,0
1989-06-01,73.404701,73.404701,73.404701,73.404701,27.179449,0
1989-06-02,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-06-05,72.414902,72.414902,72.414902,72.414902,26.812958,0
1989-06-06,73.734596,73.734596,73.734596,73.734596,27.301596,0
1989-06-07,74.064499,74.064499,74.064499,74.064499,27.423752,0
1989-06-08,74.724297,74.724297,74.724297,74.724297,27.668058,0
1989-06-09,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-06-12,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-06-13,73.899498,73.899498,73.899498,73.899498,27.362654,0
1989-06-14,72.909798,72.909798,72.909798,72.909798,26.996201,0
1989-06-15,72.084999,72.084999,72.084999,72.084999,26.690798,0
1989-06-16,72.579903,72.579903,72.579903,72.579903,26.874048,0
1989-06-19,73.074799,73.074799,73.074799,73.074799,27.057281,0
1989-06-20,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-06-21,76.043900,76.043900,76.043900,76.043900,28.156670,0
1989-06-22,75.878998,75.878998,75.878998,75.878998,28.095604,0
1989-06-23,75.054199,75.054199,75.054199,75.054199,27.790211,0
1989-06-26,74.724297,74.724297,74.724297,74.724297,27.668058,0
1989-06-27,75.713997,75.713997,75.713997,75.713997,28.034504,0
1989-06-28,76.208900,76.208900,76.208900,76.208900,28.217751,0
1989-06-29,74.724297,74.724297,74.724297,74.724297,27.668058,0
1989-06-30,73.404701,73.404701,73.404701,73.404701,27.179449,0
1989-07-03,74.064499,74.064499,74.064499,74.064499,27.423752,0
1989-07-04,74.559402,74.559402,74.559402,74.559402,27.606993,0
1989-07-05,74.229401,74.229401,74.229401,74.229401,27.484802,0
1989-07-06,73.899498,73.899498,73.899498,73.899498,27.362654,0
1989-07-07,75.384102,75.384102,75.384102,75.384102,27.912344,0
1989-07-10,77.363602,77.363602,77.363602,77.363602,28.645306,0
1989-07-11,79.178101,79.178101,79.178101,79.178101,29.317158,0
1989-07-12,78.188400,78.188400,78.188400,78.188400,28.950693,0
1989-07-13,77.198601,77.198601,77.198601,77.198601,28.584208,0
